id,cleaned_text,favorites,retweets,date,date_part,time_part,hour,year,month
1.0386e+18,"Republicans are doing really well with the Senate Midterms. Races that we were not even thinking about winning are now very close, or even leading. Election night will be very interesting indeed!",80391,17147,2018-09-09 01:38:00,2018-09-09,01:38:00,1,2018,9
1.03858e+18,"Our Social Media (and beyond) Stars, @DiamondandSilk, are terrific people who are doing really well. We are all very proud of them, and their great success!",77909,16177,2018-09-09 00:07:00,2018-09-09,00:07:00,0,2018,9
1.03853e+18,"So true! “Mr. Trump remains the single most popular figure in the Republican Party, whose fealty has helped buoy candidates in competitive Republican primaries and remains a hot commodity among general election candidates.”  Nicholas Fandos, @nytimes",62726,12934,2018-08-09 21:08:00,2018-08-09,21:08:00,21,2018,8
1.03845e+18,"Apple prices may increase because of the massive Tariffs we may be imposing on China - but there is an easy solution where there would be ZERO tax, and indeed a tax incentive. Make your products in the United States instead of China. Start building new plants now. Exciting! #MAGA",96157,22606,2018-08-09 15:45:00,2018-08-09,15:45:00,15,2018,8
1.03844e+18,"We are breaking all Jobs and Economic Records but, importantly, our Country has TREMENDOUS FUTURE POTENTIAL. We have just begun!",88548,19599,2018-08-09 14:51:00,2018-08-09,14:51:00,14,2018,8
1.03844e+18,"“To this point, President Trump’s achievements are unprecedented.”  @LouDobbs",58441,12174,2018-08-09 14:47:00,2018-08-09,14:47:00,14,2018,8
1.03844e+18,"Dave Hughes is running for Congress in the Great State of Minnesota. He will help us accomplish our America First policies, is strong on Crime, the Border, our 2nd Amendmen, Trade, Military and Vets. Running against Pelosi Liberal Puppet Petterson. Dave has my Total Endorsement!",54623,13302,2018-08-09 14:44:00,2018-08-09,14:44:00,14,2018,8
1.03818e+18,"14 days for $28 MILLION - $2 MILLION a day, No Collusion. A great day for America!",73767,16654,2018-07-09 21:39:00,2018-07-09,21:39:00,21,2018,7
1.03816e+18,“Unprecedented Jobs Growth Streak Continues as Wages Rise” ,48169,11744,2018-07-09 20:16:00,2018-07-09,20:16:00,20,2018,7
1.0381e+18,"Under our horrible immigration laws, the Government is frequently blocked from deporting criminal aliens with violent felony convictions. House GOP just passed a bill to increase our ability to deport violent felons (Crazy Dems opposed). Need to get this bill to my desk fast!",95945,24123,2018-07-09 16:35:00,2018-07-09,16:35:00,16,2018,7
1.03803e+18,The Woodward book is a scam. I don’t talk the way I am quoted. If I did I would not have been elected President. These quotes were made up. The author uses every trick in the book to demean and belittle. I wish the people could see the real facts - and our country is doing GREAT!,108671,23531,2018-07-09 11:32:00,2018-07-09,11:32:00,11,2018,7
1.03802e+18,"Matt Rosendale will be a Great Senator from a Great State, Montana! He is a fighter who will be tough on Crime and the Border, fight hard for our 2nd Amendment and loves our Military and our Vets. He has my full and complete Endorsement!",58552,13027,2018-07-09 11:11:00,2018-07-09,11:11:00,11,2018,7
1.03802e+18,What was Nike thinking?,129388,23544,2018-07-09 10:56:00,2018-07-09,10:56:00,10,2018,7
1.0379e+18,"Thank you Montana, I love you! ",64550,12620,2018-07-09 02:48:00,2018-07-09,02:48:00,2,2018,7
1.03787e+18,"Getting ready to go on stage for Matt Rosendale, who will be a great Senator. Jon Tester has let the people of Montana down &amp, does not deserve another six years. Matt is strong on Crime, the Borders, &amp, will save your Second Amendment from the onslaught. Loves our Military &amp, Vets!",64133,13030,2018-07-09 01:06:00,2018-07-09,01:06:00,1,2018,7
1.03784e+18,Landing in Montana now to support Matt Rosendale for U.S. Senate! #MAGA ,44573,8680,2018-06-09 23:15:00,2018-06-09,23:15:00,23,2018,6
1.03784e+18,Are the investigative “journalists” of the New York Times going to investigate themselves - who is the anonymous letter writer?,73279,14776,2018-06-09 23:12:00,2018-06-09,23:12:00,23,2018,6
1.03775e+18,Look forward to seeing everyone in Montana tonight! #MAGA ,47477,10289,2018-06-09 17:16:00,2018-06-09,17:16:00,17,2018,6
1.0377e+18,"“The record is quite remarkable. The President has faithfully followed the agenda he campaigned on in 2016. People should focus on the results, and they’re extraordinary!”  James Freeman - Wall Street Journal",83064,20193,2018-06-09 14:09:00,2018-06-09,14:09:00,14,2018,6
1.03766e+18,"Cosumer confidence highest in 18 years, Atlanta Fed forecasts 4.7 GDP, manufacturing jobs highest in many years. “It’s the story of the Trump Administration, the Economic Success, that’s unnerving his detractors.” @MariaBartiromo",65334,15168,2018-06-09 11:31:00,2018-06-09,11:31:00,11,2018,6
1.03766e+18,"The Deep State and the Left, and their vehicle, the Fake News Media, are going Crazy - &amp, they don’t know what to do. The Economy is booming like never before, Jobs are at Historic Highs, soon TWO Supreme Court Justices &amp, maybe Declassification to find Additional Corruption. Wow!",109823,29047,2018-06-09 11:19:00,2018-06-09,11:19:00,11,2018,6
1.03766e+18,Kim Jong Un of North Korea proclaims “unwavering faith in President Trump.” Thank you to Chairman Kim. We will get it done together!,93440,20576,2018-06-09 10:58:00,2018-06-09,10:58:00,10,2018,6
1.03749e+18,"Does the so-called “Senior Administration Official” really exist, or is it just the Failing New York Times with another phony source? If the GUTLESS anonymous person does indeed exist, the Times must, for National Security purposes, turn him/her over to government at once!",101716,25111,2018-05-09 23:40:00,2018-05-09,23:40:00,23,2018,5
1.03746e+18,TREASON?,112544,32938,2018-05-09 22:15:00,2018-05-09,22:15:00,22,2018,5
1.03746e+18,The Failing New York Times! ,73525,19730,2018-05-09 21:45:00,2018-05-09,21:45:00,21,2018,5
1.03745e+18,"Today, it was my honor to welcome the Amir of Kuwait to the @WhiteHouse!  ",42543,9741,2018-05-09 21:10:00,2018-05-09,21:10:00,21,2018,5
1.03742e+18,"Join me tomorrow night at 7:00pm MDT in Billings, Montana for a MAKE AMERICA GREAT AGAIN RALLY! Get your tickets here: ",47043,11719,2018-05-09 19:09:00,2018-05-09,19:09:00,19,2018,5
1.03734e+18,"Thank you General Mattis, book is boring &amp, untrue! ",52544,12175,2018-05-09 13:54:00,2018-05-09,13:54:00,13,2018,5
1.03734e+18,"Thank you General Kelly, book is total fiction! ",49828,11721,2018-05-09 13:51:00,2018-05-09,13:51:00,13,2018,5
1.02971e+18,"Congratulations to Bryan Steil on a wonderful win last night. Your will be replacing a great guy in Paul Ryan, and your win in November will make the entire State of Wisconsin very proud. You have my complete and total Endorsement!",6222,1484,2018-08-15 01:02:00,2018-08-15,01:02:00,1,2018,8
1.03733e+18,"Just like the NFL, whose ratings have gone WAY DOWN, Nike is getting absolutely killed with anger and boycotts. I wonder if they had any idea that it would be this way? As far as the NFL is concerned, I just find it hard to watch, and always will, until they stand for the FLAG!",103316,21848,2018-05-09 13:39:00,2018-05-09,13:39:00,13,2018,5
1.03733e+18,The Trump Economy is booming with help of House and Senate GOP. #FarmBill with SNAP work  requirements will bolster farmers and get America back to work. Pass the Farm Bill with SNAP work requirements!,51182,11066,2018-05-09 13:21:00,2018-05-09,13:21:00,13,2018,5
1.03733e+18,"Almost everyone agrees that my Administration has done more in less than two years than any other Administration in the history of our Country. I’m tough as hell on people &amp, if I weren’t, nothing would get done. Also, I question everybody &amp, everything-which is why I got elected!",100871,23022,2018-05-09 13:20:00,2018-05-09,13:20:00,13,2018,5
1.0373e+18,"Isn’t it a shame that someone can write an article or book, totally make up stories and form a picture of a person that is literally the exact opposite of the fact, and get away with it without retribution or cost. Don’t know why Washington politicians don’t change libel laws?",98393,20355,2018-05-09 11:33:00,2018-05-09,11:33:00,11,2018,5
1.03718e+18,“Secretary Mattis Nukes Woodward Allegations” ,44561,11396,2018-05-09 03:35:00,2018-05-09,03:35:00,3,2018,5
1.03718e+18,Jim Mattis Calls Woodward Book 'Fiction': 'Product of Someone's Rich Imagination'  via @BreitbartNews,39460,9578,2018-05-09 03:32:00,2018-05-09,03:32:00,3,2018,5
1.03717e+18,"The already discredited Woodward book, so many lies and phony sources, has me calling Jeff Sessions “mentally retarded” and “a dumb southerner.” I said NEITHER, never used those terms on anyone, including Jeff, and being a southerner is a GREAT thing. He made this up to divide!",73813,17453,2018-05-09 03:01:00,2018-05-09,03:01:00,3,2018,5
1.03717e+18,"Sleepy Eyes Chuck Todd of Fake NBC News said it’s time for the Press to stop complaining and to start fighting back. Actually Chuck, they’ve been doing that from the day I announced for President. They’ve gone all out, and I WON, and now they’re going CRAZY!",91057,20529,2018-05-09 02:50:00,2018-05-09,02:50:00,2,2018,5
1.03712e+18,"The Woodward book has already been refuted and discredited by General (Secretary of Defense) James Mattis and General (Chief of Staff) John Kelly. Their quotes were made up frauds, a con on the public. Likewise other stories and quotes. Woodward is a Dem operative? Notice timing?",70985,18599,2018-04-09 23:18:00,2018-04-09,23:18:00,23,2018,4
1.03711e+18,"Statement from White House @PressSec, Sarah Sanders: ",47718,12501,2018-04-09 22:49:00,2018-04-09,22:49:00,22,2018,4
1.03711e+18,"Statement from White House Chief of Staff, General John Kelly: ",56485,16081,2018-04-09 22:38:00,2018-04-09,22:38:00,22,2018,4
1.03711e+18,"Statement from Secretary of Defense, James Mattis: ",57502,17008,2018-04-09 22:37:00,2018-04-09,22:37:00,22,2018,4
1.03708e+18,“Judge Brett Kavanaugh is an Exceptionally Qualified and Deserving Nominee for the Supreme Court” ,49967,12008,2018-04-09 21:03:00,2018-04-09,21:03:00,21,2018,4
1.03708e+18,"Paul Cook is a decorated Marine Corps Veteran who loves and supports our Military and Vets. He is Strong on Crime, the Border, and supported Tax Cuts for the people of California. Paul has my total and complete Endorsement!",54952,12802,2018-04-09 20:55:00,2018-04-09,20:55:00,20,2018,4
1.03708e+18,“Pledge to America’s Workers” ,36496,8121,2018-04-09 20:44:00,2018-04-09,20:44:00,20,2018,4
1.03708e+18,"Jon Kyl will be an extraordinary Senator representing an extraordinary state, Arizona. I look forward to working with him!",49743,9941,2018-04-09 20:40:00,2018-04-09,20:40:00,20,2018,4
1.03704e+18,Everyone in the path of #Gordon please heed the advice of State and local officials and follow @NHC_Atlantic for updates. The Federal Government stands ready to assist. Be safe! ,39464,9051,2018-04-09 18:24:00,2018-04-09,18:24:00,18,2018,4
1.03699e+18,"NBC FAKE NEWS, which is under intense scrutiny over their killing the Harvey Weinstein story, is now fumbling around making excuses for their probably highly unethical conduct. I have long criticized NBC and their journalistic standards-worse than even CNN. Look at their license?",88482,20438,2018-04-09 14:58:00,2018-04-09,14:58:00,14,2018,4
1.03674e+18,President Bashar al-Assad of Syria must not recklessly attack Idlib Province. The Russians and Iranians would be making a grave humanitarian mistake to take part in this potential human tragedy. Hundreds of thousands of people could be killed. Don’t let that happen!,75155,18133,2018-03-09 22:20:00,2018-03-09,22:20:00,22,2018,3
1.0367e+18,"According to the Failing New York Times, the FBI started a major effort to flip Putin loyalists in 2014-2016. “It wasn’t about Trump, he wasn’t even close to a candidate yet.”  Rigged Witch Hunt!",61158,14613,2018-03-09 19:21:00,2018-03-09,19:21:00,19,2018,3
1.03669e+18,"I see that John Kerry, the father of the now terminated Iran deal, is thinking of running for President. I should only be so lucky - although the field that is currently assembling looks really good - FOR ME!",93636,19729,2018-03-09 18:55:00,2018-03-09,18:55:00,18,2018,3
1.03669e+18,"....The Democrats, none of whom voted for Jeff Sessions, must love him now. Same thing with Lyin’ James Comey. The Dems all hated him, wanted him out, thought he was disgusting - UNTIL I FIRED HIM! Immediately he became a wonderful man, a saint like figure in fact. Really sick!",85195,18885,2018-03-09 18:39:00,2018-03-09,18:39:00,18,2018,3
1.03668e+18,"Two long running, Obama era, investigations of  two very popular Republican Congressmen were brought to a well publicized charge, just ahead of the Mid-Terms, by the Jeff Sessions Justice Department. Two easy wins now in doubt because there is not enough time. Good job Jeff......",67344,15894,2018-03-09 18:25:00,2018-03-09,18:25:00,18,2018,3
1.03664e+18,"Richard Trumka, the head of the AFL-CIO, represented his union poorly on television this weekend. Some of the things he said were so against the working men and women of our country, and the success of the U.S. itself, that it is easy to see why unions are doing so poorly. A Dem!",53550,12139,2018-03-09 15:28:00,2018-03-09,15:28:00,15,2018,3
1.03659e+18,The Worker in America is doing better than ever before. Celebrate Labor Day!,79524,15631,2018-03-09 12:23:00,2018-03-09,12:23:00,12,2018,3
1.03658e+18,Happy Labor Day! Our country is doing better than ever before with unemployment setting record lows. The U.S. has tremendous upside potential as we go about fixing some of the worst Trade Deals ever made by any country in the world. Big progress being made!,106910,22272,2018-03-09 11:28:00,2018-03-09,11:28:00,11,2018,3
1.03657e+18,"Richard Trumka, the head of the AFL-CIO, represented his union poorly on television this weekend. Some of the things he said were so againt the working men and women of our country, and the success of the U.S. itself, that it is easy to see why unions are doing so poorly. A Dem!",41476,10636,2018-03-09 11:15:00,2018-03-09,11:15:00,11,2018,3
